Date,Income,Outcome,Balance,Налог на прибыль (при уплате только ежеквартальных авансовых платежей),Зарплаты и авансы (не позднее 15 и 30 числа каждого месяца),Праздники РФ,Inflation Rate MoM: actual,Inflation Rate MoM: forecastCorrection,Balance of Trade: actual,Balance of Trade: forecastCorrection,Foreign Exchange Reserves: actual,Foreign Exchange Reserves: forecastCorrection,Industrial Production YoY: actual,Industrial Production YoY: forecastCorrection,Unemployment Rate: actual,Unemployment Rate: forecastCorrection,Real Wage Growth YoY: actual,Real Wage Growth YoY: forecastCorrection,PPI MoM: actual,PPI MoM: forecastCorrection,Retail Sales YoY: actual,Retail Sales YoY: forecastCorrection,Corporate Profits: actual,Corporate Profits: forecastCorrection,Markit Manufacturing PMI: actual,Markit Manufacturing PMI: forecastCorrection,Markit Services PMI: actual,Markit Services PMI: forecastCorrection,Business Confidence: actual,Business Confidence: forecastCorrection,BZ=F,IMOEX.ME,USDRUB=X,Key_rate,Euro,Dollar,Gold,Balance lag 1,Balance lag 2,Balance lag 3,Balance lag 4,Balance lag 5,Balance lag 6,Balance lag 7,Balance lag 8,Balance lag 9,Balance lag 10,Balance lag 11,Balance lag 12,Balance lag 13,Balance lag 14,Balance lag 15,Balance lag 16,Balance lag 17,Balance lag 18,Balance lag 19,Balance lag 20,Balance lag 21,Balance lag 22,Balance lag 23,Balance lag 24,Balance lag 25,Balance lag 26,Balance lag 27,Balance lag 28,Balance lag 29
2017-01-09,1.34,1.49,-0.1559036386,0.0,0.6,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,54.93999862670898,2211.25,59.56499862670898,10.0,63.0176,59.8495,2264.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,1.068610321,1.194182455,-0.1255721339,0.0,0.6666666666666666,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,53.63999938964844,2237.489990234375,60.102500915527344,10.0,63.5227,59.9672,2280.67,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,0.944429115,0.9366625183,0.00776659662,0.0,0.7333333333333333,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.09999847412109,2218.610107421875,60.13999938964844,10.0,63.3733,60.143,2297.0,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,1.67,0.8753789643,0.8003907709,0.0,0.8,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,56.0099983215332,2212.0,59.778099060058594,10.0,63.1847,59.3784,2308.2,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,0.9559239897,0.9756451203,-0.01972113068,0.0,0.8666666666666667,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,10.0,63.1565,59.3602,2283.58,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-14,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,10.0,63.1565,59.3602,2283.58,-0.01972113068,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-15,0.0,0.0,0.0,0.0,1.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2195.18994140625,59.432498931884766,10.0,63.1565,59.3602,2283.58,0.0,-0.01972113068,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,1.082341359,1.024344933,0.05799642613,0.0,0.0,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.45000076293945,2189.070068359375,59.637001037597656,10.0,63.1439,59.3602,2304.95,0.0,0.0,-0.01972113068,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,0.8963335667,1.45,-0.5485185356,0.0,0.06666666666666667,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,55.470001220703125,2178.72998046875,59.78200149536133,10.0,63.2408,59.2569,2325.18,0.05799642613,0.0,0.0,-0.01972113068,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,,
2017-01-18,0.7547589142,0.8795602299,-0.1248013156,0.0,0.13333333333333333,0.0,0.6,-0.09999999999999998,11.45,-0.6500000000000004,390.6,12.700000000000045,2.3,-0.30000000000000027,5.6,0.09999999999999964,3.1,1.1,3.3,2.0999999999999996,2.3,-1.1,0.98,-10.62,54.7,0.6000000000000014,58.4,1.6000000000000014,3.0,-4.0,53.91999816894531,2170.090087890625,59.33000183105469,10.0,63.2421,59.2012,2307.12,-0.5485185356,0.05799642613,0.0,0.0,-0.01972113068,0.8003907709,0.00776659662,-0.1255721339,-0.1559036386,,,,,,,,,,,,,,,,,,,,
