Date,Налог на прибыль (при уплате только ежеквартальных авансовых платежей),Зарплаты и авансы (не позднее 15 и 30 числа каждого месяца),Foreign Exchange Reserves: actual,Retail Sales YoY: forecastCorrection,Markit Services PMI: actual,Business Confidence: forecastCorrection,BZ=F,IMOEX.ME,Key_rate,Euro,Dollar,Gold,Balance lag 1,Balance lag 2,Balance lag 3,Balance lag 7,Balance lag 20,Balance lag 28,weekday,quarter,is_weekend
2017-01-09,0.0,0.6,390.6,-1.1,58.4,-4.0,54.93999862670898,2211.25,10.0,63.0176,59.8495,2264.82,,,,,,,0,1,0
2017-01-10,0.0,0.6666666666666666,390.6,-1.1,58.4,-4.0,53.63999938964844,2237.489990234375,10.0,63.5227,59.9672,2280.67,-0.1559036386,,,,,,1,1,0
2017-01-11,0.0,0.7333333333333333,390.6,-1.1,58.4,-4.0,55.09999847412109,2218.610107421875,10.0,63.3733,60.143,2297.0,-0.1255721339,-0.1559036386,,,,,2,1,0
2017-01-12,0.0,0.8,390.6,-1.1,58.4,-4.0,56.0099983215332,2212.0,10.0,63.1847,59.3784,2308.2,0.00776659662,-0.1255721339,-0.1559036386,,,,3,1,0
2017-01-13,0.0,0.8666666666666667,390.6,-1.1,58.4,-4.0,55.45000076293945,2195.18994140625,10.0,63.1565,59.3602,2283.58,0.8003907709,0.00776659662,-0.1255721339,,,,4,1,0
2017-01-14,0.0,0.9333333333333332,390.6,-1.1,58.4,-4.0,55.45000076293945,2195.18994140625,10.0,63.1565,59.3602,2283.58,-0.01972113068,0.8003907709,0.00776659662,,,,5,1,1
2017-01-15,0.0,1.0,390.6,-1.1,58.4,-4.0,55.45000076293945,2195.18994140625,10.0,63.1565,59.3602,2283.58,0.0,-0.01972113068,0.8003907709,,,,6,1,1
2017-01-16,0.0,0.0,390.6,-1.1,58.4,-4.0,55.45000076293945,2189.070068359375,10.0,63.1439,59.3602,2304.95,0.0,0.0,-0.01972113068,-0.1559036386,,,0,1,0
2017-01-17,0.0,0.0666666666666666,390.6,-1.1,58.4,-4.0,55.470001220703125,2178.72998046875,10.0,63.2408,59.2569,2325.18,0.05799642613,0.0,0.0,-0.1255721339,,,1,1,0
2017-01-18,0.0,0.1333333333333333,390.6,-1.1,58.4,-4.0,53.91999816894531,2170.090087890625,10.0,63.2421,59.2012,2307.12,-0.5485185356,0.05799642613,0.0,0.00776659662,,,2,1,0
2017-01-19,0.0,0.2,390.6,-1.1,58.4,-4.0,54.15999984741211,2162.25,10.0,63.4713,59.6524,2296.25,-0.1248013156,-0.5485185356,0.05799642613,0.8003907709,,,3,1,0
2017-01-20,0.0,0.2666666666666666,390.6,-1.1,58.4,-4.0,55.4900016784668,2159.9599609375,10.0,63.6012,59.676,2300.38,-0.0053907017,-0.1248013156,-0.5485185356,-0.01972113068,,,4,1,0
2017-01-21,0.0,0.3333333333333333,390.6,-1.1,58.4,-4.0,55.4900016784668,2159.9599609375,10.0,63.6012,59.676,2300.38,-0.113900231,-0.0053907017,-0.1248013156,0.0,,,5,1,1
2017-01-22,0.0,0.4,390.6,-1.1,58.4,-4.0,55.4900016784668,2159.9599609375,10.0,63.6012,59.676,2300.38,0.0,-0.113900231,-0.0053907017,0.0,,,6,1,1
2017-01-23,0.0,0.4666666666666667,390.6,-1.1,58.4,-4.0,55.22999954223633,2146.090087890625,10.0,63.791,59.432,2322.0,0.0,0.0,-0.113900231,0.05799642613,,,0,1,0
2017-01-24,0.0,0.5333333333333333,390.6,-1.1,58.4,-4.0,55.43999862670898,2174.590087890625,10.0,63.5884,59.2089,2309.96,-0.1093460242,0.0,0.0,-0.5485185356,,,1,1,0
2017-01-25,0.0,0.6,390.6,-1.1,58.4,-4.0,55.08000183105469,2176.0,10.0,63.5633,59.1957,2288.67,0.07337596429,-0.1093460242,0.0,-0.1248013156,,,2,1,0
2017-01-26,0.0,0.6666666666666666,390.6,-1.1,58.4,-4.0,56.2400016784668,2229.199951171875,10.0,64.1418,59.8843,2284.59,-0.1137625723,0.07337596429,-0.1093460242,-0.0053907017,,,3,1,0
2017-01-27,0.0,0.7333333333333333,390.6,-1.1,58.4,-4.0,55.52000045776367,2266.050048828125,10.0,64.2317,60.0907,2296.54,-0.1340636427,-0.1137625723,0.07337596429,-0.113900231,,,4,1,0
2017-01-28,0.0,0.8,390.6,-1.1,58.4,-4.0,55.52000045776367,2266.050048828125,10.0,64.2317,60.0907,2296.54,-0.1984834782,-0.1340636427,-0.1137625723,0.0,,,5,1,1
2017-01-29,0.0,0.8666666666666667,390.6,-1.1,58.4,-4.0,55.52000045776367,2266.050048828125,10.0,64.2317,60.0907,2296.54,0.0,-0.1984834782,-0.1340636427,0.0,-0.1559036386,,6,1,1
2017-01-30,0.0,0.9333333333333332,390.6,-1.1,58.4,-4.0,55.22999954223633,2234.139892578125,10.0,64.2533,60.0303,2301.46,0.0,0.0,-0.1984834782,-0.1093460242,-0.1255721339,,0,1,0
2017-01-31,0.0,1.0,390.6,-1.1,58.4,-4.0,55.70000076293945,2217.389892578125,10.0,64.2999,60.0484,2315.82,-0.1547027394,0.0,0.0,0.07337596429,0.00776659662,,1,1,0
2017-02-01,0.0,0.0666666666666666,397.3,-0.1,55.5,-3.0,55.65999984741211,2231.679931640625,10.0,65.0206,60.2421,2346.2,-0.02699994417,-0.1547027394,0.0,-0.1137625723,0.8003907709,,2,1,0
2017-02-02,0.0,0.1333333333333333,397.3,-0.1,55.5,-3.0,56.560001373291016,2217.56005859375,10.0,64.6002,59.7856,2360.69,0.09330864428,-0.02699994417,-0.1547027394,-0.1340636427,-0.01972113068,,3,1,0
